fractionholiday2,holiday_trafficvariation,holiday_traficviolation,working_violationvstraffic,weekends_violationvstraffic,violationvstraffic vs days in a week,traffic vs days in a week,violation vs days in week,
0.159481428,29157,4650,0.081885013,0.086600065,0.081885013,15967,1491,Monday
0.228515245,46277,10575,0.086592698,0.095238095,0.086592698,11046,2691,Tuesday
0.266124497,23117,6152,0.080873433,0.325692732,0.080873433,18115,3123,Wednesday
0.284540831,52105,14826,0.088301336,0.24262698,0.088301336,23533,1927,Thursday
0.22619755,70686,15989,0.093380096,0.232439522,0.093380096,12453,2535,Friday
0.377879221,28697,10844,0.203565406,0.257749949,0.086600065,11969,2345,Saturday
0.371330037,32766,12167,0.178174313,,0.095238095,18418,1595,Sunday
0.360630589,30638,11049,0.136873476,,0.203565406,6893,2245,Monday
0.272755019,29488,8043,0.148089778,,0.178174313,13724,3190,Tuesday
0.333382603,40593,13533,0.243617599,,0.136873476,14952,1424,Wednesday
0.395594646,25923,10255,0.195922801,,0.148089778,7324,1777,Thursday
0.354891001,17890,6349,0.207504521,,0.243617599,9742,2511,Friday
,,,0.197671633,,0.325692732,17814,1573,Saturday
,,,0.274928571,,0.24262698,18401,2725,Sunday
,,,0.172398565,,0.195922801,14000,3849,Monday
,,,,,0.207504521,16133,1397,Tuesday
,,,,,0.197671633,15019,2676,Wednesday
,,,,,0.274928571,17696,3672,Thursday
,,,,,0.172398565,17311,1400,Friday
,,,,,0.232439522,18455,2526,Saturday
,,,,,0.257749949,20873,4126,Sunday
 Mean of Fraction, Mean of Fraction,,,,Days, Mean of Fraction,,
,,,,,Monday,0.16045774,,0.48137322
,,,,,Tuesday,0.157423844,,0.472271532
,,,,,Wednesday,0.138472847,,0.415418542
,,,,,Thursday,0.170439895,,0.511319685
,,,,,Friday,0.169798753,,0.50939626
,,,,,Saturday,0.214910773,,0.644732319
,,,,,Sunday,0.198538341,,0.595615024
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Weeks of Holidays,fraction_of_holidays,,,Sat-Sun,Mean of fraction,,,
May Week1,0.159481428,,,Saturday,0.322775667,,,
May Week2,0.228515245,,,Sunday,0.421644748,,,
May Week3,0.266124497,,,,,,,
June Week1,0.284540831,,,,,,,
June week2,0.22619755,,,,,,,
June Week3,0.377879221,,,,,,,
June Week4,0.371330037,,Working Days, Mean of Fraction,,,,
July Week1,0.360630589,,Monday,0.350758019,,,,
July Week2,0.272755019,,Tuesday,0.333935185,,,,
December  Week1,0.333382603,,Wednesday,0.283637453,,,,
December  Week2,0.395594646,,Thursday,0.328033971,,,,
December Week3,0.354891001,,Friday,0.447142863,,,,
