Time intervals,violation,fraction,traffic,,,
0AM - 6AM  ,327,0.091264304,3583,,,
6AM - 8AM,435,0.10325184,4213,,,
8AM-10AM,1063,0.065922481,16125,,,
10AM-4PM,3199,0.078734925,40630,,,
4PM-6PM,4223,0.114085801,37016,,,
6PM-9PM,1079,0.074035954,14574,,,
9PM-12PM,481,0.060215323,7988,,,
0AM - 6AM  ,601,0.197502465,3043,,Time intervals,Mean of fractions
6AM - 8AM,369,0.127285271,2899,,0AM - 6AM  ,0.358962507
8AM-10AM,1552,0.14298876,10854,,6AM - 8AM,0.277514057
10AM-4PM,5041,0.185795371,27132,,8AM-10AM,0.272400578
4PM-6PM,5582,0.210458847,26523,,10AM-4PM,0.344163573
6PM-9PM,2736,0.214504116,12755,,4PM-6PM,0.401129926
9PM-12PM,1294,0.202630755,6386,,6PM-9PM,0.365055315
0AM - 6AM  ,728,0.210587214,3457,,9PM-12PM,0.341557903
6AM - 8AM,324,0.140930839,2299,,,
8AM-10AM,2218,0.190468012,11645,,,
10AM-4PM,6832,0.203496858,33573,,,
4PM-6PM,7255,0.229755835,31577,,,
6PM-9PM,3709,0.229545736,16158,,,
9PM-12PM,1750,0.236135474,7411,,,
